user,table,user_id,gid,row_index,timestamp,x,y,value
do2126@columbia.edu,mtb,16,1128,0,2025-07-01T14:33:53.938Z,is_bad_year,is_bad_year,1.00
do2126@columbia.edu,mtb,16,1128,1,2025-07-01T14:33:53.938Z,is_bad_year,combined_severity,0.20
do2126@columbia.edu,mtb,16,1128,2,2025-07-01T14:33:53.938Z,is_bad_year,sum_early,0.18
do2126@columbia.edu,mtb,16,1128,3,2025-07-01T14:33:53.938Z,is_bad_year,sum_late,0.40
do2126@columbia.edu,mtb,16,1128,4,2025-07-01T14:33:53.938Z,is_bad_year,vegetation,0.20
do2126@columbia.edu,mtb,16,1128,5,2025-07-01T14:33:53.938Z,combined_severity,is_bad_year,0.50
do2126@columbia.edu,mtb,16,1128,6,2025-07-01T14:33:53.938Z,combined_severity,combined_severity,1.00
do2126@columbia.edu,mtb,16,1128,7,2025-07-01T14:33:53.938Z,combined_severity,sum_early,1.00
do2126@columbia.edu,mtb,16,1128,8,2025-07-01T14:33:53.938Z,combined_severity,sum_late,1.00
do2126@columbia.edu,mtb,16,1128,9,2025-07-01T14:33:53.938Z,combined_severity,vegetation,1.00
do2126@columbia.edu,mtb,16,1128,10,2025-07-01T14:33:53.938Z,sum_early,is_bad_year,0.25
do2126@columbia.edu,mtb,16,1128,11,2025-07-01T14:33:53.938Z,sum_early,combined_severity,0.55
do2126@columbia.edu,mtb,16,1128,12,2025-07-01T14:33:53.938Z,sum_early,sum_early,1.00
do2126@columbia.edu,mtb,16,1128,13,2025-07-01T14:33:53.938Z,sum_early,sum_late,0.40
do2126@columbia.edu,mtb,16,1128,14,2025-07-01T14:33:53.938Z,sum_early,vegetation,0.00
do2126@columbia.edu,mtb,16,1128,15,2025-07-01T14:33:53.938Z,sum_late,is_bad_year,0.50
do2126@columbia.edu,mtb,16,1128,16,2025-07-01T14:33:53.938Z,sum_late,combined_severity,0.50
do2126@columbia.edu,mtb,16,1128,17,2025-07-01T14:33:53.938Z,sum_late,sum_early,0.36
do2126@columbia.edu,mtb,16,1128,18,2025-07-01T14:33:53.938Z,sum_late,sum_late,1.00
do2126@columbia.edu,mtb,16,1128,19,2025-07-01T14:33:53.938Z,sum_late,vegetation,0.40
do2126@columbia.edu,mtb,16,1128,20,2025-07-01T14:33:53.938Z,vegetation,is_bad_year,0.13
do2126@columbia.edu,mtb,16,1128,21,2025-07-01T14:33:53.938Z,vegetation,combined_severity,0.25
do2126@columbia.edu,mtb,16,1128,22,2025-07-01T14:33:53.938Z,vegetation,sum_early,0.00
do2126@columbia.edu,mtb,16,1128,23,2025-07-01T14:33:53.938Z,vegetation,sum_late,0.20
do2126@columbia.edu,mtb,16,1128,24,2025-07-01T14:33:53.938Z,vegetation,vegetation,1.00
